etf_code,date,open,high,low,close
159201,2025-02-27,1.002,1.004,0.997,1.004
159201,2025-02-28,1.005,1.007,0.989,0.992
159201,2025-03-03,0.992,0.997,0.983,0.988
159201,2025-03-04,0.986,0.989,0.979,0.988
159201,2025-03-05,0.988,0.99,0.98,0.986
159201,2025-03-06,0.987,0.997,0.986,0.996
159201,2025-03-07,0.996,1.001,0.992,0.997
159201,2025-03-10,0.997,0.999,0.991,0.995
159201,2025-03-11,0.993,0.996,0.986,0.996
159201,2025-03-12,0.996,1.002,0.996,1
159201,2025-03-13,1,1.001,0.992,0.999
159201,2025-03-14,0.998,1.008,0.996,1.008
159201,2025-03-17,1.01,1.013,1.008,1.012
159201,2025-03-18,1.014,1.017,1.009,1.016
159201,2025-03-19,1.017,1.018,1.01,1.016
159201,2025-03-20,1.016,1.024,1.014,1.018
159201,2025-03-21,1.018,1.03,1.014,1.019
159201,2025-03-24,1.02,1.032,1.019,1.032
159201,2025-03-25,1.03,1.039,1.028,1.032
159201,2025-03-26,1.032,1.034,1.025,1.03
159201,2025-03-27,1.029,1.029,1.02,1.023
159201,2025-03-28,1.022,1.022,1.008,1.012
159201,2025-03-31,1.011,1.014,1,1.006
159201,2025-04-01,1.006,1.013,1.005,1.008
159201,2025-04-02,1.009,1.011,1.001,1.003
159201,2025-04-03,0.999,1,0.988,0.992
159201,2025-04-07,0.949,0.95,0.893,0.898
159201,2025-04-08,0.901,0.919,0.897,0.918
159201,2025-04-09,0.905,0.926,0.886,0.921
159201,2025-04-10,0.932,0.946,0.932,0.941
159201,2025-04-11,0.937,0.942,0.932,0.939
159201,2025-04-14,0.944,0.951,0.942,0.948
159201,2025-04-15,0.948,0.949,0.942,0.949
159201,2025-04-16,0.949,0.949,0.935,0.944
159201,2025-04-17,0.942,0.947,0.94,0.944
159201,2025-04-18,0.943,0.95,0.941,0.948
159201,2025-04-21,0.948,0.955,0.944,0.954
159201,2025-04-22,0.953,0.959,0.952,0.958
159201,2025-04-23,0.96,0.963,0.957,0.96
159201,2025-04-24,0.96,0.964,0.957,0.96
159201,2025-04-25,0.96,0.965,0.958,0.963
159201,2025-04-28,0.962,0.963,0.957,0.959
159201,2025-04-29,0.958,0.962,0.954,0.96
159201,2025-04-30,0.96,0.961,0.955,0.957
159201,2025-05-06,0.957,0.968,0.957,0.968
159201,2025-05-07,0.975,0.978,0.969,0.975
159201,2025-05-08,0.974,0.976,0.968,0.975
159201,2025-05-09,0.975,0.976,0.97,0.971
159201,2025-05-12,0.974,0.981,0.974,0.981
159201,2025-05-13,0.986,0.988,0.981,0.982
159201,2025-05-14,0.981,0.991,0.98,0.99
159201,2025-05-15,0.99,0.99,0.98,0.982
159201,2025-05-16,0.978,0.982,0.976,0.979
159201,2025-05-19,0.979,0.984,0.978,0.984
159201,2025-05-20,0.985,0.991,0.983,0.99
159201,2025-05-21,0.99,0.998,0.99,0.998
159201,2025-05-22,0.996,0.997,0.991,0.994
159201,2025-05-23,0.994,1.001,0.988,0.989
159201,2025-05-26,0.987,0.994,0.985,0.989
159201,2025-05-27,0.99,0.99,0.98,0.983
159201,2025-05-28,0.984,0.99,0.983,0.987
159201,2025-05-29,0.986,0.994,0.985,0.993
159201,2025-05-30,0.992,0.992,0.985,0.989
159201,2025-06-03,0.987,0.987,0.983,0.986
159201,2025-06-04,0.986,0.99,0.986,0.989
159201,2025-06-05,0.988,0.991,0.986,0.989
159201,2025-06-06,0.989,0.994,0.989,0.992
159201,2025-06-09,0.993,0.999,0.991,0.999
159201,2025-06-10,0.999,1,0.987,0.994
159201,2025-06-11,0.994,1.002,0.994,1.001
159201,2025-06-12,1.001,1.003,0.999,1.002
159201,2025-06-13,1.001,1.004,0.995,1
159201,2025-06-16,0.999,1,0.993,0.996
159201,2025-06-17,0.996,0.996,0.992,0.995
159201,2025-06-18,0.995,0.998,0.99,0.994
159201,2025-06-19,0.994,0.994,0.98,0.982
159201,2025-06-20,0.981,0.986,0.981,0.985
159201,2025-06-23,0.983,0.988,0.981,0.988
159201,2025-06-24,0.989,0.997,0.985,0.996
159201,2025-06-25,0.996,1.002,0.993,1.001
159201,2025-06-26,1.001,1.005,0.998,0.999
159201,2025-06-27,0.999,1.009,0.999,1.004
159201,2025-06-30,1.004,1.008,1.002,1.008
159201,2025-07-01,1.009,1.01,1.003,1.01
159201,2025-07-02,1.01,1.02,1.01,1.019
159201,2025-07-03,1.02,1.022,1.017,1.021
159201,2025-07-04,1.022,1.03,1.02,1.025
159201,2025-07-07,1.024,1.025,1.021,1.022
159201,2025-07-08,1.021,1.029,1.021,1.028
159201,2025-07-09,1.029,1.03,1.021,1.023
159201,2025-07-10,1.023,1.032,1.022,1.03
159201,2025-07-11,1.03,1.04,1.029,1.033
159201,2025-07-14,1.033,1.045,1.033,1.042
