etf_code,date,open,high,low,close
159119,2026-05-21,1.046,1.049,1.024,1.025
159119,2026-05-22,1.024,1.025,1.016,1.023
159119,2026-05-25,1.023,1.025,1.01,1.014
159119,2026-05-26,1.015,1.025,1.011,1.025
159119,2026-05-27,1.025,1.028,1.008,1.015
159127,2026-05-28,0.954,0.954,0.937,0.941
159143,2026-05-28,1.003,1.003,0.983,0.988
159166,2026-05-28,0.879,0.883,0.873,0.88
159201,2026-05-20,1.258,1.258,1.249,1.255
159201,2026-05-21,1.254,1.261,1.23,1.232
159201,2026-05-22,1.231,1.24,1.225,1.236
159201,2026-05-25,1.235,1.238,1.223,1.228
159201,2026-05-26,1.227,1.241,1.22,1.241
159201,2026-05-27,1.24,1.241,1.215,1.22
159201,2026-05-28,1.215,1.222,1.205,1.213
159221,2026-05-28,1.213,1.217,1.202,1.209
159222,2026-05-28,1.3,1.304,1.287,1.296
159229,2026-05-21,1.264,1.27,1.238,1.241
159229,2026-05-22,1.239,1.239,1.23,1.236
159229,2026-05-25,1.236,1.239,1.223,1.229
159229,2026-05-26,1.223,1.242,1.22,1.242
159229,2026-05-27,1.237,1.244,1.219,1.228
159229,2026-05-28,1.225,1.225,1.21,1.218
159232,2026-05-20,1.283,1.289,1.271,1.275
159232,2026-05-21,1.275,1.284,1.251,1.253
159232,2026-05-22,1.253,1.254,1.241,1.25
159232,2026-05-25,1.249,1.253,1.235,1.241
159232,2026-05-26,1.242,1.252,1.237,1.251
159232,2026-05-27,1.251,1.256,1.23,1.237
159232,2026-05-28,1.235,1.236,1.219,1.227
159233,2026-05-28,1.225,1.225,1.208,1.216
159236,2026-05-28,1.232,1.232,1.216,1.221
159266,2026-05-28,0.981,0.981,0.96,0.965
159281,2026-05-28,0.96,0.961,0.941,0.947
159307,2026-05-28,1.042,1.045,1.035,1.037
159332,2026-05-28,1.183,1.19,1.176,1.177
159333,2026-05-28,1.37,1.373,1.35,1.357
159399,2026-05-20,1.096,1.096,1.082,1.085
159399,2026-05-21,1.085,1.087,1.063,1.065
159399,2026-05-22,1.067,1.068,1.057,1.062
159399,2026-05-25,1.061,1.064,1.051,1.056
159399,2026-05-26,1.057,1.067,1.053,1.065
159399,2026-05-27,1.065,1.068,1.045,1.049
159399,2026-05-28,1.049,1.051,1.038,1.045
159547,2026-05-28,1.186,1.191,1.179,1.18
159549,2026-05-28,1.19,1.192,1.181,1.183
159569,2026-05-20,1.46,1.464,1.453,1.457
159569,2026-05-21,1.457,1.46,1.445,1.448
159569,2026-05-22,1.45,1.453,1.433,1.439
159569,2026-05-25,1.438,1.45,1.437,1.441
159569,2026-05-26,1.442,1.449,1.433,1.448
159569,2026-05-27,1.441,1.446,1.423,1.435
159569,2026-05-28,1.43,1.435,1.414,1.416
159581,2026-05-28,1.044,1.051,1.042,1.045
159758,2021-12-28,1.001,1.001,1.001,1.001
159758,2021-12-29,0.979,0.979,0.979,0.979
159758,2021-12-30,0.99,0.99,0.99,0.99
159758,2021-12-31,1.0,1.0,1.0,1.0
159758,2022-01-04,0.998,0.998,0.998,0.998
159758,2022-01-05,0.978,0.978,0.978,0.978
159758,2022-01-06,0.975,0.975,0.975,0.975
159758,2022-01-07,0.97,0.97,0.97,0.97
159758,2022-01-10,0.979,0.979,0.979,0.979
159758,2022-01-11,0.975,0.975,0.975,0.975
159758,2022-01-12,0.975,0.975,0.975,0.975
159758,2022-01-13,0.957,0.957,0.957,0.957
159758,2022-01-14,0.959,0.959,0.959,0.959
159758,2022-01-17,0.969,0.969,0.969,0.969
159758,2022-01-18,0.963,0.963,0.963,0.963
159758,2022-01-19,0.95,0.95,0.95,0.95
159758,2022-01-20,0.958,0.958,0.958,0.958
159758,2022-01-21,0.947,0.947,0.947,0.947
159758,2022-01-24,0.945,0.945,0.945,0.945
159758,2022-01-25,0.919,0.919,0.919,0.919
159758,2022-01-26,0.918,0.918,0.918,0.918
159758,2022-01-27,0.905,0.905,0.905,0.905
159758,2022-01-28,0.891,0.891,0.891,0.891
159758,2022-02-07,0.909,0.909,0.909,0.909
159758,2022-02-08,0.903,0.903,0.903,0.903
159758,2022-02-09,0.925,0.925,0.925,0.925
159758,2022-02-10,0.931,0.931,0.931,0.931
159758,2022-02-11,0.917,0.917,0.917,0.917
159758,2022-02-14,0.909,0.909,0.909,0.909
159758,2022-02-15,0.927,0.927,0.927,0.927
