日期,中国10年期国债收益率(%),美国10年期国债收益率(%)
2000-01-31,,6.68
2000-02-29,,6.42
2000-03-31,,6.03
2000-04-30,,6.23
2000-05-31,,6.29
2000-06-30,,6.03
2000-07-31,,6.04
2000-08-31,,5.73
2000-09-30,,5.8
2000-10-31,,5.77
2000-11-30,,5.48
2000-12-31,,5.12
2001-01-31,,5.19
2001-02-28,,4.92
2001-03-31,,4.93
2001-04-30,,5.35
2001-05-31,,5.43
2001-06-30,,5.42
2001-07-31,,5.07
2001-08-31,,4.85
2001-09-30,,4.6
2001-10-31,,4.3
2001-11-30,,4.78
2001-12-31,,5.07
2002-01-31,3.2186,5.07
2002-02-28,3.1315,4.88
2002-03-31,2.8551,5.42
2002-04-30,2.5022,5.11
2002-05-31,2.381,5.08
2002-06-30,2.5798,4.86
2002-07-31,2.869,4.51
2002-08-31,3.0595,4.14
2002-09-30,3.1397,3.63
2002-10-31,2.9978,3.93
2002-11-30,3.5248,4.22
2002-12-31,3.1776,3.83
2003-01-31,3.0984,4.0
2003-02-28,3.1225,3.71
2003-03-31,2.9228,3.83
2003-04-30,2.834,3.89
2003-05-31,2.8717,3.37
2003-06-30,3.0821,3.54
2003-07-31,2.9294,4.49
2003-08-31,2.831,4.45
2003-09-30,3.2369,3.96
2003-10-31,3.3235,4.33
2003-11-30,3.933,4.34
2003-12-31,3.3602,4.27
2004-01-31,3.8706,4.16
2004-02-29,3.8105,3.99
2004-03-31,3.9169,3.86
2004-04-30,4.2841,4.53
2004-05-31,4.6123,4.66
2004-06-30,4.348,4.62
2004-07-31,4.6018,4.5
2004-08-31,5.1676,4.13
2004-09-30,5.1266,4.14
2004-10-31,4.8246,4.05
2004-11-30,5.3419,4.36
2004-12-31,4.7332,4.24
2005-01-31,4.8982,4.14
2005-02-28,4.8334,4.36
2005-03-31,4.1203,4.5
2005-04-30,4.0441,4.21
2005-05-31,3.8469,4.0
2005-06-30,3.653,3.94
2005-07-31,3.3874,4.28
2005-08-31,3.5608,4.02
2005-09-30,3.2404,4.34
2005-10-31,3.0613,4.57
2005-11-30,3.3255,4.49
2005-12-31,3.1216,4.39
2006-01-31,2.9795,4.53
2006-02-28,2.9266,4.55
2006-03-31,2.94,4.86
