etf_code,year,record_date,ex_dividend_date,cash_per_unit,payment_date,source_url,updated_at
007751,2020,2020-01-16,2020-01-16,0.0500,2020-01-17,https://fundf10.eastmoney.com/fhsp_007751.html,2026-08-13
007751,2021,2021-07-07,2021-07-07,0.0510,2021-07-08,https://fundf10.eastmoney.com/fhsp_007751.html,2026-08-13
007751,2021,2021-10-13,2021-10-13,0.1080,2021-10-14,https://fundf10.eastmoney.com/fhsp_007751.html,2026-08-13
007751,2022,2022-01-10,2022-01-10,0.2070,2022-01-11,https://fundf10.eastmoney.com/fhsp_007751.html,2026-08-13
007751,2022,2022-04-11,2022-04-11,0.1720,2022-04-12,https://fundf10.eastmoney.com/fhsp_007751.html,2026-08-13
007751,2022,2022-07-07,2022-07-07,0.1950,2022-07-08,https://fundf10.eastmoney.com/fhsp_007751.html,2026-08-13
007751,2022,2022-10-13,2022-10-13,0.0220,2022-10-14,https://fundf10.eastmoney.com/fhsp_007751.html,2026-08-13
007751,2023,2023-01-06,2023-01-06,0.1250,2023-01-09,https://fundf10.eastmoney.com/fhsp_007751.html,2026-08-13
007751,2023,2023-04-11,2023-04-11,0.1880,2023-04-12,https://fundf10.eastmoney.com/fhsp_007751.html,2026-08-13
007751,2023,2023-07-10,2023-07-10,0.2810,2023-07-11,https://fundf10.eastmoney.com/fhsp_007751.html,2026-08-13
007751,2023,2023-10-12,2023-10-12,0.2610,2023-10-13,https://fundf10.eastmoney.com/fhsp_007751.html,2026-08-13
007751,2024,2024-01-04,2024-01-04,0.1200,2024-01-05,https://fundf10.eastmoney.com/fhsp_007751.html,2026-08-13
007751,2024,2024-04-09,2024-04-09,0.1400,2024-04-10,https://fundf10.eastmoney.com/fhsp_007751.html,2026-08-13
007751,2024,2024-07-08,2024-07-08,0.2430,2024-07-09,https://fundf10.eastmoney.com/fhsp_007751.html,2026-08-13
007751,2024,2024-10-17,2024-10-17,0.2300,2024-10-18,https://fundf10.eastmoney.com/fhsp_007751.html,2026-08-13
007751,2025,2025-01-07,2025-01-07,0.2770,2025-01-08,https://fundf10.eastmoney.com/fhsp_007751.html,2026-08-13
007751,2025,2025-04-07,2025-04-07,0.2410,2025-04-08,https://fundf10.eastmoney.com/fhsp_007751.html,2026-08-13
007751,2025,2025-07-04,2025-07-04,0.2830,2025-07-07,https://fundf10.eastmoney.com/fhsp_007751.html,2026-08-13
007751,2025,2025-10-14,2025-10-14,0.2740,2025-10-15,https://fundf10.eastmoney.com/fhsp_007751.html,2026-08-13
007751,2026,2026-01-09,2026-01-09,0.2680,2026-01-12,https://fundf10.eastmoney.com/fhsp_007751.html,2026-08-13
007751,2026,2026-04-08,2026-04-08,0.2170,2026-04-09,https://fundf10.eastmoney.com/fhsp_007751.html,2026-08-13
007751,2026,2026-07-07,2026-07-07,0.1300,2026-07-08,https://fundf10.eastmoney.com/fhsp_007751.html,2026-08-13
159221,2025,2025-10-21,2025-10-22,0.0175,2025-10-24,https://fundf10.eastmoney.com/fhsp_159221.html,2026-05-29
159221,2026,2026-01-16,2026-01-19,0.0119,2026-01-21,https://fundf10.eastmoney.com/fhsp_159221.html,2026-05-29
159221,2026,2026-04-14,2026-04-15,0.0072,2026-04-17,https://fundf10.eastmoney.com/fhsp_159221.html,2026-05-29
159232,2025,2025-07-14,2025-07-15,0.0500,2025-07-16,https://fundf10.eastmoney.com/fhsp_159232.html,2026-08-13
159232,2025,2025-10-24,2025-10-27,0.0500,2025-10-28,https://fundf10.eastmoney.com/fhsp_159232.html,2026-08-13
159232,2026,2026-01-19,2026-01-20,0.1000,2026-01-21,https://fundf10.eastmoney.com/fhsp_159232.html,2026-08-13
159232,2026,2026-04-14,2026-04-15,0.1000,2026-04-16,https://fundf10.eastmoney.com/fhsp_159232.html,2026-08-13
159232,2026,2026-07-14,2026-07-15,0.1000,2026-07-16,https://fundf10.eastmoney.com/fhsp_159232.html,2026-08-13
159399,2025,2025-03-13,2025-03-14,0.0100,2025-03-18,https://fundf10.eastmoney.com/fhsp_159399.html,2026-08-13
159399,2025,2025-04-15,2025-04-16,0.0300,2025-04-18,https://fundf10.eastmoney.com/fhsp_159399.html,2026-08-13
159399,2025,2025-05-13,2025-05-14,0.0290,2025-05-16,https://fundf10.eastmoney.com/fhsp_159399.html,2026-08-13
159399,2025,2025-06-13,2025-06-16,0.0200,2025-06-18,https://fundf10.eastmoney.com/fhsp_159399.html,2026-08-13
159399,2025,2025-07-15,2025-07-16,0.0260,2025-07-18,https://fundf10.eastmoney.com/fhsp_159399.html,2026-08-13
159399,2025,2025-08-13,2025-08-14,0.0260,2025-08-18,https://fundf10.eastmoney.com/fhsp_159399.html,2026-08-13
159399,2025,2025-09-15,2025-09-16,0.0280,2025-09-18,https://fundf10.eastmoney.com/fhsp_159399.html,2026-08-13
159399,2025,2025-10-14,2025-10-15,0.0280,2025-10-17,https://fundf10.eastmoney.com/fhsp_159399.html,2026-08-13
159399,2025,2025-11-13,2025-11-14,0.0290,2025-11-18,https://fundf10.eastmoney.com/fhsp_159399.html,2026-08-13
159399,2025,2025-12-15,2025-12-16,0.0290,2025-12-18,https://fundf10.eastmoney.com/fhsp_159399.html,2026-08-13
159399,2026,2026-01-13,2026-01-14,0.0290,2026-01-16,https://fundf10.eastmoney.com/fhsp_159399.html,2026-08-13
159399,2026,2026-02-09,2026-02-10,0.0300,2026-02-12,https://fundf10.eastmoney.com/fhsp_159399.html,2026-08-13
159399,2026,2026-03-13,2026-03-16,0.0300,2026-03-18,https://fundf10.eastmoney.com/fhsp_159399.html,2026-08-13
159399,2026,2026-04-14,2026-04-15,0.0280,2026-04-17,https://fundf10.eastmoney.com/fhsp_159399.html,2026-08-13
159399,2026,2026-05-13,2026-05-14,0.0280,2026-05-18,https://fundf10.eastmoney.com/fhsp_159399.html,2026-08-13
159399,2026,2026-06-15,2026-06-16,0.0260,2026-06-18,https://fundf10.eastmoney.com/fhsp_159399.html,2026-08-13
159399,2026,2026-07-14,2026-07-15,0.0230,2026-07-17,https://fundf10.eastmoney.com/fhsp_159399.html,2026-08-13
159399,2026,2026-08-13,2026-08-14,0.0260,2026-08-18,https://fundf10.eastmoney.com/fhsp_159399.html,2026-08-13
159569,2025,2025-06-20,2025-06-23,0.3900,2025-06-25,https://fundf10.eastmoney.com/fhsp_159569.html,2026-08-13
159569,2025,2025-12-22,2025-12-23,0.2790,2025-12-25,https://fundf10.eastmoney.com/fhsp_159569.html,2026-08-13
159569,2026,2026-06-23,2026-06-24,0.1660,2026-06-26,https://fundf10.eastmoney.com/fhsp_159569.html,2026-08-13
510880,2009,2009-03-23,2009-03-24,0.2400,2009-03-30,https://fundf10.eastmoney.com/fhsp_510880.html,2026-08-13
510880,2009,2009-10-21,2009-10-22,0.2300,2009-10-28,https://fundf10.eastmoney.com/fhsp_510880.html,2026-08-13
510880,2010,2010-07-14,2010-07-15,0.2000,2010-07-21,https://fundf10.eastmoney.com/fhsp_510880.html,2026-08-13
510880,2010,2010-10-21,2010-10-22,0.2100,2010-10-28,https://fundf10.eastmoney.com/fhsp_510880.html,2026-08-13
510880,2011,2011-10-21,2011-10-24,0.3500,2011-10-28,https://fundf10.eastmoney.com/fhsp_510880.html,2026-08-13
510880,2012,2012-12-17,2012-12-18,0.4100,2012-12-24,https://fundf10.eastmoney.com/fhsp_510880.html,2026-08-13
510880,2014,2014-01-20,2014-01-21,0.5900,2014-01-27,https://fundf10.eastmoney.com/fhsp_510880.html,2026-08-13
510880,2015,2015-01-19,2015-01-20,0.8000,2015-01-23,https://fundf10.eastmoney.com/fhsp_510880.html,2026-08-13
510880,2016,2016-01-19,2016-01-20,0.5000,2016-01-25,https://fundf10.eastmoney.com/fhsp_510880.html,2026-08-13
510880,2017,2017-01-20,2017-01-23,0.9100,2017-01-26,https://fundf10.eastmoney.com/fhsp_510880.html,2026-08-13
510880,2018,2018-01-22,2018-01-23,1.0900,2018-01-26,https://fundf10.eastmoney.com/fhsp_510880.html,2026-08-13
510880,2019,2019-01-15,2019-01-16,0.9800,2019-01-21,https://fundf10.eastmoney.com/fhsp_510880.html,2026-08-13
510880,2020,2020-01-16,2020-01-17,1.4400,2020-01-22,https://fundf10.eastmoney.com/fhsp_510880.html,2026-08-13
510880,2021,2021-01-15,2021-01-18,1.4100,2021-01-21,https://fundf10.eastmoney.com/fhsp_510880.html,2026-08-13
510880,2022,2022-01-14,2022-01-17,0.8600,2022-01-20,https://fundf10.eastmoney.com/fhsp_510880.html,2026-08-13
510880,2023,2023-01-13,2023-01-16,1.3800,2023-01-19,https://fundf10.eastmoney.com/fhsp_510880.html,2026-08-13
510880,2024,2024-01-22,2024-01-23,1.3100,2024-01-26,https://fundf10.eastmoney.com/fhsp_510880.html,2026-08-13
510880,2025,2025-01-20,2025-01-21,1.4200,2025-01-24,https://fundf10.eastmoney.com/fhsp_510880.html,2026-08-13
510880,2026,2026-01-20,2026-01-21,1.4300,2026-01-26,https://fundf10.eastmoney.com/fhsp_510880.html,2026-08-13
513530,2025,2025-06-13,2025-06-16,0.2000,2025-06-19,https://fundf10.eastmoney.com/fhsp_513530.html,2026-08-13
513530,2025,2025-07-11,2025-07-14,0.2000,2025-07-21,https://fundf10.eastmoney.com/fhsp_513530.html,2026-08-13
513530,2025,2025-08-15,2025-08-18,0.1000,2025-08-25,https://fundf10.eastmoney.com/fhsp_513530.html,2026-08-13
513530,2025,2025-09-12,2025-09-15,0.1000,2025-09-22,https://fundf10.eastmoney.com/fhsp_513530.html,2026-08-13
513530,2025,2025-10-17,2025-10-20,0.1000,2025-10-27,https://fundf10.eastmoney.com/fhsp_513530.html,2026-08-13
513530,2025,2025-11-14,2025-11-17,0.1000,2025-11-24,https://fundf10.eastmoney.com/fhsp_513530.html,2026-08-13
513530,2025,2025-12-12,2025-12-15,0.1000,2025-12-22,https://fundf10.eastmoney.com/fhsp_513530.html,2026-08-13
513530,2026,2026-01-20,2026-01-21,0.1000,2026-01-28,https://fundf10.eastmoney.com/fhsp_513530.html,2026-08-13
513530,2026,2026-02-25,2026-02-26,0.1000,2026-03-05,https://fundf10.eastmoney.com/fhsp_513530.html,2026-08-13
513530,2026,2026-03-20,2026-03-23,0.1000,2026-03-30,https://fundf10.eastmoney.com/fhsp_513530.html,2026-08-13
513530,2026,2026-04-17,2026-04-20,0.1000,2026-04-27,https://fundf10.eastmoney.com/fhsp_513530.html,2026-08-13
513530,2026,2026-05-15,2026-05-18,0.1000,2026-05-25,https://fundf10.eastmoney.com/fhsp_513530.html,2026-08-13
513530,2026,2026-06-12,2026-06-15,0.1000,2026-06-23,https://fundf10.eastmoney.com/fhsp_513530.html,2026-08-13
513530,2026,2026-07-17,2026-07-20,0.1000,2026-07-27,https://fundf10.eastmoney.com/fhsp_513530.html,2026-08-13
513530,2026,2026-08-14,2026-08-17,0.1000,2026-08-24,https://fundf10.eastmoney.com/fhsp_513530.html,2026-08-13
513630,2025,2025-12-29,2025-12-30,0.0200,2026-01-06,https://fundf10.eastmoney.com/fhsp_513630.html,2026-08-13
513630,2026,2026-01-26,2026-01-27,0.0200,2026-01-30,https://fundf10.eastmoney.com/fhsp_513630.html,2026-08-13
513630,2026,2026-02-13,2026-02-24,0.0200,2026-02-27,https://fundf10.eastmoney.com/fhsp_513630.html,2026-08-13
513630,2026,2026-03-25,2026-03-26,0.0200,2026-03-31,https://fundf10.eastmoney.com/fhsp_513630.html,2026-08-13
513630,2026,2026-04-24,2026-04-27,0.0200,2026-04-30,https://fundf10.eastmoney.com/fhsp_513630.html,2026-08-13
513630,2026,2026-05-20,2026-05-21,0.0200,2026-05-29,https://fundf10.eastmoney.com/fhsp_513630.html,2026-08-13
513630,2026,2026-06-22,2026-06-23,0.0200,2026-06-30,https://fundf10.eastmoney.com/fhsp_513630.html,2026-08-13
513630,2026,2026-07-23,2026-07-24,0.0200,2026-07-31,https://fundf10.eastmoney.com/fhsp_513630.html,2026-08-13
513920,2025,2025-01-16,2025-01-17,0.1700,2025-01-22,https://fundf10.eastmoney.com/fhsp_513920.html,2026-08-13
513920,2025,2025-04-16,2025-04-17,0.1700,2025-04-22,https://fundf10.eastmoney.com/fhsp_513920.html,2026-08-13
513920,2025,2025-07-14,2025-07-15,0.1900,2025-07-18,https://fundf10.eastmoney.com/fhsp_513920.html,2026-08-13
513920,2025,2025-10-22,2025-10-23,0.2000,2025-10-28,https://fundf10.eastmoney.com/fhsp_513920.html,2026-08-13
513920,2026,2026-01-15,2026-01-16,0.0800,2026-01-21,https://fundf10.eastmoney.com/fhsp_513920.html,2026-08-13
513920,2026,2026-07-14,2026-07-15,0.1100,2026-07-20,https://fundf10.eastmoney.com/fhsp_513920.html,2026-08-13
513950,2023,2023-08-29,2023-08-30,0.2970,2023-09-04,https://fundf10.eastmoney.com/fhsp_513950.html,2026-08-13
513950,2023,2023-11-28,2023-11-29,0.1400,2023-12-04,https://fundf10.eastmoney.com/fhsp_513950.html,2026-08-13
513950,2024,2024-02-27,2024-02-28,0.0500,2024-03-04,https://fundf10.eastmoney.com/fhsp_513950.html,2026-08-13
513950,2024,2024-06-25,2024-06-26,0.0600,2024-07-01,https://fundf10.eastmoney.com/fhsp_513950.html,2026-08-13
513950,2024,2024-08-15,2024-08-16,0.1000,2024-08-21,https://fundf10.eastmoney.com/fhsp_513950.html,2026-08-13
513950,2024,2024-11-05,2024-11-06,0.0300,2024-11-11,https://fundf10.eastmoney.com/fhsp_513950.html,2026-08-13
513950,2024,2024-12-24,2024-12-25,0.0300,2024-12-30,https://fundf10.eastmoney.com/fhsp_513950.html,2026-08-13
513950,2025,2025-03-04,2025-03-05,0.0500,2025-03-10,https://fundf10.eastmoney.com/fhsp_513950.html,2026-08-13
513950,2025,2025-04-15,2025-04-16,0.0650,2025-04-21,https://fundf10.eastmoney.com/fhsp_513950.html,2026-08-13
513950,2025,2025-06-12,2025-06-13,0.1000,2025-06-18,https://fundf10.eastmoney.com/fhsp_513950.html,2026-08-13
513950,2025,2025-08-13,2025-08-14,0.1400,2025-08-19,https://fundf10.eastmoney.com/fhsp_513950.html,2026-08-13
513950,2025,2025-10-22,2025-10-23,0.1350,2025-10-28,https://fundf10.eastmoney.com/fhsp_513950.html,2026-08-13
513950,2025,2025-12-15,2025-12-16,0.1430,2025-12-19,https://fundf10.eastmoney.com/fhsp_513950.html,2026-08-13
513950,2026,2026-02-12,2026-02-13,0.1440,2026-02-26,https://fundf10.eastmoney.com/fhsp_513950.html,2026-08-13
513950,2026,2026-06-25,2026-06-26,0.0700,2026-07-01,https://fundf10.eastmoney.com/fhsp_513950.html,2026-08-13
515080,2020,2020-11-27,2020-11-30,0.0600,2020-12-03,https://fundf10.eastmoney.com/fhsp_515080.html,2026-06-04
515080,2021,2021-06-17,2021-06-18,0.0300,2021-06-23,https://fundf10.eastmoney.com/fhsp_515080.html,2026-06-04
515080,2021,2021-12-08,2021-12-09,0.0300,2021-12-14,https://fundf10.eastmoney.com/fhsp_515080.html,2026-06-04
515080,2022,2022-06-24,2022-06-27,0.0300,2022-06-30,https://fundf10.eastmoney.com/fhsp_515080.html,2026-06-04
515080,2022,2022-11-28,2022-11-29,0.0300,2022-12-02,https://fundf10.eastmoney.com/fhsp_515080.html,2026-06-04
515080,2023,2023-06-15,2023-06-16,0.0350,2023-06-21,https://fundf10.eastmoney.com/fhsp_515080.html,2026-06-04
515080,2023,2023-11-30,2023-12-01,0.0350,2023-12-06,https://fundf10.eastmoney.com/fhsp_515080.html,2026-06-04
515080,2024,2024-03-27,2024-03-28,0.0150,2024-04-02,https://fundf10.eastmoney.com/fhsp_515080.html,2026-06-04
515080,2024,2024-06-28,2024-07-01,0.0200,2024-07-04,https://fundf10.eastmoney.com/fhsp_515080.html,2026-06-04
515080,2024,2024-09-19,2024-09-20,0.0150,2024-09-25,https://fundf10.eastmoney.com/fhsp_515080.html,2026-06-04
515080,2024,2024-11-29,2024-12-02,0.0200,2024-12-05,https://fundf10.eastmoney.com/fhsp_515080.html,2026-06-04
515080,2025,2025-03-18,2025-03-19,0.0150,2025-03-24,https://fundf10.eastmoney.com/fhsp_515080.html,2026-06-04
515080,2025,2025-06-16,2025-06-17,0.0150,2025-06-20,https://fundf10.eastmoney.com/fhsp_515080.html,2026-06-04
515080,2025,2025-09-16,2025-09-17,0.0150,2025-09-22,https://fundf10.eastmoney.com/fhsp_515080.html,2026-06-04
515080,2025,2025-12-17,2025-12-18,0.0200,2025-12-23,https://fundf10.eastmoney.com/fhsp_515080.html,2026-06-04
515080,2026,2026-03-17,2026-03-18,0.0150,2026-03-23,https://fundf10.eastmoney.com/fhsp_515080.html,2026-06-04
515100,2023,2023-12-20,2023-12-21,4.3700,2023-12-26,https://fundf10.eastmoney.com/fhsp_515100.html,2026-08-13
515100,2025,2025-12-22,2025-12-23,1.0530,2025-12-26,https://fundf10.eastmoney.com/fhsp_515100.html,2026-08-13
515180,2020,2020-10-23,2020-10-26,0.5100,2020-10-29,https://fundf10.eastmoney.com/fhsp_515180.html,2026-08-13
515180,2021,2021-10-20,2021-10-21,0.5100,2021-10-26,https://fundf10.eastmoney.com/fhsp_515180.html,2026-08-13
515180,2022,2022-10-24,2022-10-25,0.4400,2022-10-28,https://fundf10.eastmoney.com/fhsp_515180.html,2026-08-13
515180,2023,2023-10-23,2023-10-24,0.6200,2023-10-27,https://fundf10.eastmoney.com/fhsp_515180.html,2026-08-13
515180,2024,2024-10-17,2024-10-18,0.6300,2024-10-23,https://fundf10.eastmoney.com/fhsp_515180.html,2026-08-13
515180,2025,2025-10-20,2025-10-21,0.6100,2025-10-24,https://fundf10.eastmoney.com/fhsp_515180.html,2026-08-13
515450,2021,2021-11-12,2021-11-15,0.6000,2021-11-18,https://fundf10.eastmoney.com/fhsp_515450.html,2026-08-13
515450,2022,2022-12-09,2022-12-12,0.5000,2022-12-15,https://fundf10.eastmoney.com/fhsp_515450.html,2026-08-13
515450,2023,2023-12-15,2023-12-18,1.4000,2023-12-21,https://fundf10.eastmoney.com/fhsp_515450.html,2026-08-13
515450,2024,2024-07-19,2024-07-22,0.5000,2024-07-25,https://fundf10.eastmoney.com/fhsp_515450.html,2026-08-13
515450,2024,2024-12-16,2024-12-17,0.5500,2024-12-20,https://fundf10.eastmoney.com/fhsp_515450.html,2026-08-13
515450,2025,2025-07-14,2025-07-15,0.4500,2025-07-18,https://fundf10.eastmoney.com/fhsp_515450.html,2026-08-13
515450,2025,2025-12-12,2025-12-15,0.3000,2025-12-18,https://fundf10.eastmoney.com/fhsp_515450.html,2026-08-13
515450,2026,2026-07-14,2026-07-15,0.1000,2026-07-20,https://fundf10.eastmoney.com/fhsp_515450.html,2026-08-13
520550,2025,2025-05-14,2025-05-15,0.0020,2025-05-20,https://fundf10.eastmoney.com/fhsp_520550.html,2026-05-29
520550,2025,2025-06-16,2025-06-17,0.0040,2025-06-20,https://fundf10.eastmoney.com/fhsp_520550.html,2026-05-29
520550,2025,2025-07-14,2025-07-15,0.0040,2025-07-18,https://fundf10.eastmoney.com/fhsp_520550.html,2026-05-29
520550,2025,2025-08-14,2025-08-15,0.0040,2025-08-20,https://fundf10.eastmoney.com/fhsp_520550.html,2026-05-29
520550,2025,2025-09-12,2025-09-15,0.0040,2025-09-18,https://fundf10.eastmoney.com/fhsp_520550.html,2026-05-29
520550,2025,2025-10-22,2025-10-23,0.0040,2025-10-28,https://fundf10.eastmoney.com/fhsp_520550.html,2026-05-29
520550,2025,2025-11-14,2025-11-17,0.0040,2025-11-20,https://fundf10.eastmoney.com/fhsp_520550.html,2026-05-29
520550,2025,2025-12-12,2025-12-15,0.0040,2025-12-18,https://fundf10.eastmoney.com/fhsp_520550.html,2026-05-29
520550,2026,2026-01-16,2026-01-19,0.0040,2026-01-22,https://fundf10.eastmoney.com/fhsp_520550.html,2026-05-29
520550,2026,2026-02-12,2026-02-13,0.0040,2026-02-26,https://fundf10.eastmoney.com/fhsp_520550.html,2026-05-29
520550,2026,2026-03-13,2026-03-16,0.0040,2026-03-19,https://fundf10.eastmoney.com/fhsp_520550.html,2026-05-29
520550,2026,2026-04-15,2026-04-16,0.0040,2026-04-21,https://fundf10.eastmoney.com/fhsp_520550.html,2026-05-29
520550,2026,2026-05-19,2026-05-20,0.0040,2026-05-25,https://fundf10.eastmoney.com/fhsp_520550.html,2026-05-29
560120,2026,2026-07-10,2026-07-13,0.0220,2026-07-16,https://fundf10.eastmoney.com/fhsp_560120.html,2026-08-13
561580,2025,2025-05-16,2025-05-19,0.0500,2025-05-22,https://fundf10.eastmoney.com/fhsp_561580.html,2026-08-13
561580,2025,2025-06-13,2025-06-16,0.0500,2025-06-19,https://fundf10.eastmoney.com/fhsp_561580.html,2026-08-13
561580,2025,2025-07-11,2025-07-14,0.0500,2025-07-17,https://fundf10.eastmoney.com/fhsp_561580.html,2026-08-13
561580,2025,2025-08-15,2025-08-18,0.2000,2025-08-21,https://fundf10.eastmoney.com/fhsp_561580.html,2026-08-13
561580,2025,2025-09-12,2025-09-15,0.2000,2025-09-18,https://fundf10.eastmoney.com/fhsp_561580.html,2026-08-13
561580,2025,2025-10-17,2025-10-20,0.2000,2025-10-23,https://fundf10.eastmoney.com/fhsp_561580.html,2026-08-13
561580,2025,2025-11-14,2025-11-17,0.1000,2025-11-20,https://fundf10.eastmoney.com/fhsp_561580.html,2026-08-13
561580,2025,2025-12-12,2025-12-15,0.1000,2025-12-18,https://fundf10.eastmoney.com/fhsp_561580.html,2026-08-13
561580,2026,2026-01-20,2026-01-21,0.1000,2026-01-26,https://fundf10.eastmoney.com/fhsp_561580.html,2026-08-13
561580,2026,2026-02-25,2026-02-26,0.1000,2026-03-03,https://fundf10.eastmoney.com/fhsp_561580.html,2026-08-13
561580,2026,2026-03-20,2026-03-23,0.0500,2026-03-26,https://fundf10.eastmoney.com/fhsp_561580.html,2026-08-13
561580,2026,2026-04-17,2026-04-20,0.0500,2026-04-23,https://fundf10.eastmoney.com/fhsp_561580.html,2026-08-13
561580,2026,2026-05-15,2026-05-18,0.0500,2026-05-21,https://fundf10.eastmoney.com/fhsp_561580.html,2026-08-13
561580,2026,2026-06-12,2026-06-15,0.0500,2026-06-18,https://fundf10.eastmoney.com/fhsp_561580.html,2026-08-13
561580,2026,2026-07-17,2026-07-20,0.0500,2026-07-23,https://fundf10.eastmoney.com/fhsp_561580.html,2026-08-13
561580,2026,2026-08-14,2026-08-17,0.0500,2026-08-20,https://fundf10.eastmoney.com/fhsp_561580.html,2026-08-13
563900,2025,2025-07-07,2025-07-08,0.0094,2025-07-11,https://fundf10.eastmoney.com/fhsp_563900.html,2026-05-29
563900,2025,2025-10-15,2025-10-16,0.0122,2025-10-21,https://fundf10.eastmoney.com/fhsp_563900.html,2026-05-29
563900,2026,2026-01-12,2026-01-13,0.0100,2026-01-16,https://fundf10.eastmoney.com/fhsp_563900.html,2026-05-29
