etf_code,strategy_id,param_version,report_date,backtest_start,backtest_end,data_source,price_type,cost_rate,rsi_window,rsi_oversold,rsi_overbought,boll_window,boll_std,ma_fast,ma_slow,note
512890,rsi_mean_reversion,v20260526_rsi_14_35_75,2026-05-26,2019-01-18,2026-05-25,Eastmoney,前复权,0.001,14,35,75,,,,,"RSI日 14,35,75"
512890,bollinger_mean_reversion,v20260526_boll_40_2,2026-05-26,2019-01-18,2026-05-25,Eastmoney,前复权,0.001,,,,40,2.0,,,"布林日 40,2"
515100,rsi_mean_reversion,v20260526_rsi_14_35_80,2026-05-26,2020-07-03,2026-05-25,Eastmoney,前复权,0.001,14,35,80,,,,,"RSI日 14,35,80"
515100,bollinger_mean_reversion,v20260526_boll_20_2,2026-05-26,2020-07-03,2026-05-25,Eastmoney,前复权,0.001,,,,20,2.0,,,"布林日 20,2"
515080,rsi_mean_reversion,v20260526_rsi_21_40_75,2026-05-26,2019-12-27,2026-05-25,Eastmoney,前复权,0.001,21,40,75,,,,,"RSI日 21,40,75"
515080,bollinger_mean_reversion,v20260526_boll_20_2,2026-05-26,2019-12-27,2026-05-25,Eastmoney,前复权,0.001,,,,20,2.0,,,"布林日 20,2"
515450,rsi_mean_reversion,v20260526_rsi_14_40_80,2026-05-26,2020-02-26,2026-05-25,Eastmoney,前复权,0.001,14,40,80,,,,,"RSI日 14,40,80"
515450,bollinger_mean_reversion,v20260526_boll_20_1p5,2026-05-26,2020-02-26,2026-05-25,Eastmoney,前复权,0.001,,,,20,1.5,,,"布林日 20,1.5"
510880,rsi_mean_reversion,v20260526_rsi_12_30_80,2026-05-26,2014-01-10,2026-05-25,Eastmoney,前复权,0.001,12,30,80,,,,,"RSI日 12,30,80"
510880,bollinger_mean_reversion,v20260526_boll_20_2,2026-05-26,2014-01-10,2026-05-25,Eastmoney,前复权,0.001,,,,20,2.0,,,"布林日 20,2"
159758,rsi_mean_reversion,v20260526_rsi_14_30_75,2026-05-26,2021-12-28,2026-05-25,Eastmoney,前复权,0.001,14,30,75,,,,,"RSI日 14,30,75"
159758,bollinger_mean_reversion,v20260526_boll_20_3,2026-05-26,2021-12-28,2026-05-25,Eastmoney,前复权,0.001,,,,20,3.0,,,"布林日 20,3"
007751,rsi_mean_reversion,v20260526_rsi_21_35_70,2026-05-26,2019-09-06,2026-05-19,Eastmoney,前复权,0.001,21,35,70,,,,,"RSI日 21,35,70"
007751,bollinger_mean_reversion,v20260526_boll_20_2,2026-05-26,2019-09-06,2026-05-19,Eastmoney,前复权,0.001,,,,20,2.0,,,"布林日 20,2"
561580,rsi_mean_reversion,v20260526_rsi_6_35_85,2026-05-26,2023-05-30,2026-05-25,Eastmoney,前复权,0.001,6,35,85,,,,,"RSI日 6,35,85"
561580,bollinger_mean_reversion,v20260526_boll_10_2,2026-05-26,2023-05-30,2026-05-25,Eastmoney,前复权,0.001,,,,10,2.0,,,"布林日 10,2"
513530,rsi_mean_reversion,v20260526_rsi_21_40_70,2026-05-26,2022-04-25,2026-05-25,Eastmoney,前复权,0.001,21,40,70,,,,,"RSI日 21,40,70"
513530,bollinger_mean_reversion,v20260526_boll_w10_2,2026-05-26,2022-04-25,2026-05-25,Eastmoney,前复权,0.001,,,,10,2.0,,,"布林周 10,2"
513910,rsi_mean_reversion,v20260526_rsi_14_35_75,2026-05-26,2024-03-04,2026-05-25,Eastmoney,前复权,0.001,14,35,75,,,,,"RSI日 14,35,75"
513910,bollinger_mean_reversion,v20260526_boll_40_2,2026-05-26,2024-03-04,2026-05-25,Eastmoney,前复权,0.001,,,,40,2.0,,,"布林日 40,2"
513630,rsi_mean_reversion,v20260526_rsi_7_30_85,2026-05-26,2023-12-08,2026-05-25,Eastmoney,前复权,0.001,7,30,85,,,,,"RSI日 7,30,85"
513630,bollinger_mean_reversion,v20260526_boll_20_2,2026-05-26,2023-12-08,2026-05-25,Eastmoney,前复权,0.001,,,,20,2.0,,,"布林日 20,2"
513920,rsi_mean_reversion,v20260526_rsi_6_35_85,2026-05-26,2024-01-05,2026-05-25,Eastmoney,前复权,0.001,6,35,85,,,,,"RSI日 6,35,85"
513920,bollinger_mean_reversion,v20260526_boll_10_2,2026-05-26,2024-01-05,2026-05-25,Eastmoney,前复权,0.001,,,,10,2.0,,,"布林日 10,2"
513950,rsi_mean_reversion,v20260526_rsi_21_40_70,2026-05-26,2023-04-28,2026-05-25,Eastmoney,前复权,0.001,21,40,70,,,,,"RSI日 21,40,70"
513950,bollinger_mean_reversion,v20260526_boll_20_2,2026-05-26,2023-04-28,2026-05-25,Eastmoney,前复权,0.001,,,,20,2.0,,,"布林日 20,2"
159569,rsi_mean_reversion,v20260526_rsi_21_40_70,2026-05-26,2024-08-22,2026-05-25,Eastmoney,前复权,0.001,21,40,70,,,,,"RSI日 21,40,70"
159569,bollinger_mean_reversion,v20260526_boll_20_2,2026-05-26,2024-08-22,2026-05-25,Eastmoney,前复权,0.001,,,,20,2.0,,,"布林日 20,2"
