code,name,product_group,index_code,index_name,exchange,issuer,listed_date,first_trade_date,aum_cny,management_fee_pct,custody_fee_pct,total_fee_pct,avg_daily_turnover_cny,latest_premium_discount_pct,tracking_error_pct,is_primary,source_url,updated_at,data_status,note
512890,华泰柏瑞红利低波ETF,shareholder_return_cn,H30269,中证红利低波动指数,SH,华泰柏瑞,2018-12-19,2019-01-18,31187000000,0.50,0.10,0.60,,,,true,https://fundf10.eastmoney.com/jbgk_512890.html,2026-05-29,ok,
515100,景顺长城红利低波100ETF,shareholder_return_cn,930955,中证红利低波动100指数,SH,景顺长城,2020-05-22,2020-07-03,6188000000,0.50,0.10,0.60,,,,true,https://fundf10.eastmoney.com/jbgk_515100.html,2026-05-29,ok,
515080,招商中证红利ETF,shareholder_return_cn,000922,中证红利指数,SH,招商,2019-11-28,2019-12-27,8868000000,0.20,0.10,0.30,,,,true,https://fundf10.eastmoney.com/jbgk_515080.html,2026-05-29,ok,
515450,南方标普中国A股大盘红利低波50ETF,shareholder_return_cn,SPCLLHCP.SPI,标普中国A股大盘红利低波50指数,SH,南方,2020-01-17,2020-02-26,16045000000,0.50,0.10,0.60,,,,true,https://fundf10.eastmoney.com/jbgk_515450.html,2026-05-29,ok,
510880,华泰柏瑞上证红利ETF,shareholder_return_cn,000015,上证红利指数,SH,华泰柏瑞,2006-11-17,2014-01-10,17139000000,0.50,0.10,0.60,,,,true,https://fundf10.eastmoney.com/jbgk_510880.html,2026-05-29,ok,
159758,红利质量ETF,shareholder_return_cn,931468,中证红利质量指数,SZ,华夏,2021-12-20,2021-12-28,1430000000,0.15,0.05,0.20,,,,true,https://fundf10.eastmoney.com/jbgk_159758.html,2026-05-29,ok,
561580,华泰柏瑞中证央企红利ETF,shareholder_return_cn,000825,中证中央企业红利指数,SH,华泰柏瑞,2023-05-18,2023-05-30,1535000000,0.50,0.10,0.60,,,,true,https://fundf10.eastmoney.com/jbgk_561580.html,2026-05-29,ok,
007751,景顺长城沪港深红利成长低波A,otc_fund,931157,中证沪港深红利成长低波动指数,OTC,景顺长城,2019-09-06,2019-09-06,,0.50,0.10,0.60,,,,true,https://fundf10.eastmoney.com/jbgk_007751.html,2026-05-29,ok,场外开放式基金，净值来自 fund_bars.csv
513530,华泰柏瑞中证港股通高股息投资ETF,shareholder_return_hk,930914,中证港股通高股息投资指数,SH,华泰柏瑞,2022-04-08,2022-04-25,3316000000,0.50,0.10,0.60,,,,true,https://fundf10.eastmoney.com/jbgk_513530.html,2026-05-29,ok,F10 跟踪标的：中证港股通高股息投资港元指数
513910,华夏中证港股通央企红利ETF,shareholder_return_hk,931233,中证港股通央企红利指数,SH,华夏,2024-02-07,2024-03-04,4702000000,0.50,0.10,0.60,,,,true,https://fundf10.eastmoney.com/jbgk_513910.html,2026-05-29,ok,
159232,南方中证全指自由现金流ETF,cash_creation,932365,中证全指自由现金流指数,SZ,南方,2025-04-23,2025-04-30,4050000000,0.15,0.05,0.20,,,,true,https://fundf10.eastmoney.com/jbgk_159232.html,2026-05-29,ok,
562080,华宝沪深300自由现金流ETF,cash_creation,932366,沪深300自由现金流指数,SH,华宝,2025-04-07,2026-05-21,609000000,0.50,0.10,0.60,,,,true,https://fundf10.eastmoney.com/jbgk_562080.html,2026-05-29,ok,
560120,华夏中证500自由现金流ETF,cash_creation,932367,中证500自由现金流指数,SH,华夏,2025-07-23,2026-05-21,1059000000,0.50,0.10,0.60,,,,true,https://fundf10.eastmoney.com/jbgk_560120.html,2026-05-29,ok,
563990,富国中证800自由现金流ETF,cash_creation,932368,中证800自由现金流指数,SH,富国,2025-04-16,2026-05-21,661000000,0.50,0.10,0.60,,,,true,https://fundf10.eastmoney.com/jbgk_563990.html,2026-05-29,ok,
563900,300自由现金流ETF摩根,cash_creation,932366,沪深300自由现金流指数,SH,摩根基金(中国),2025-04-24,2026-05-21,606000000,0.50,0.10,0.60,,,,false,https://fundf10.eastmoney.com/jbgk_563900.html,2026-05-29,ok,产品落地参考，不作为盘中默认监控
563580,自由现金流800ETF万家,cash_creation,932368,中证800自由现金流指数,SH,万家,2025-07-16,2026-05-21,501000000,0.50,0.10,0.60,,,,false,https://fundf10.eastmoney.com/jbgk_563580.html,2026-05-29,ok,产品落地参考，不作为盘中默认监控
513950,富国国证港股通红利低波ETF,shareholder_return_hk,HSI114,恒生港股通高股息低波动指数,SH,富国,2023-04-19,2023-04-28,3059000000,0.50,0.10,0.60,,,,true,https://fundf10.eastmoney.com/jbgk_513950.html,2026-05-29,ok,
520550,港股红利低波ETF招商,shareholder_return_hk,HSI114,恒生港股通高股息低波动指数,SH,招商,2025-01-15,2026-05-28,1190000000,0.15,0.05,0.20,,,,false,https://fundf10.eastmoney.com/jbgk_520550.html,2026-05-29,ok,候选维度：费率最低；产品落地参考，不作为盘中默认监控
159569,港股红利ETF,shareholder_return_hk,CIS51002,国证港股通红利低波动率指数,SZ,景顺长城,2024-08-14,2024-08-22,474000000,0.50,0.08,0.58,,,,true,https://fundf10.eastmoney.com/jbgk_159569.html,2026-05-29,ok,
