code,name,strategy_id,param_version,product_kind,dividend_market_scope,div_yield_nominal_pct,div_yield_source
515100,景顺长城红利低波100ETF,rsi_mean_reversion,v20260526_rsi_14_35_80,ETF,A股红利,5.5,估算
512890,华泰柏瑞红利低波ETF,rsi_mean_reversion,v20260526_rsi_14_35_75,ETF,A股红利,5.5,估算
513630,摩根标普港股通低波红利ETF,rsi_mean_reversion,v20260526_rsi_7_30_85,ETF,港股红利,7.4,估算
159758,红利质量ETF,rsi_mean_reversion,v20260526_rsi_14_30_75,ETF,A股红利,5.0,估算
515450,南方标普中国A股大盘红利低波50ETF,rsi_mean_reversion,v20260526_rsi_14_40_80,ETF,A股红利,5.2,估算
513950,富国国证港股通红利低波ETF,rsi_mean_reversion,v20260526_rsi_21_40_70,ETF,港股红利,7.5,估算
515080,招商中证红利ETF,rsi_mean_reversion,v20260526_rsi_21_40_75,ETF,A股红利,5.5,估算
510880,华泰柏瑞上证红利ETF,rsi_mean_reversion,v20260526_rsi_12_30_80,ETF,A股红利,5.5,估算
007751,景顺长城沪港深红利成长低波A,rsi_mean_reversion,v20260526_rsi_21_35_70,ETF,A股红利,5.5,估算
561580,华泰柏瑞中证央企红利ETF,rsi_mean_reversion,v20260526_rsi_6_35_85,ETF,A股红利,5.5,估算
513530,华泰柏瑞中证港股通高股息投资ETF,rsi_mean_reversion,v20260526_rsi_21_40_70,ETF,港股红利,7.5,估算
513910,华夏中证港股通央企红利ETF,rsi_mean_reversion,v20260526_rsi_14_35_75,ETF,港股红利,7.5,估算
159569,港股红利ETF,rsi_mean_reversion,v20260526_rsi_21_40_70,ETF,港股红利,7.5,估算
513920,华安中证港股通央企红利ETF,rsi_mean_reversion,v20260526_rsi_6_35_85,ETF,港股红利,7.5,估算
159232,南方中证全指自由现金流ETF,rsi_mean_reversion,v20260520,现金流类,,0,估算
159201,华夏国证自由现金流ETF,rsi_mean_reversion,v20260520,现金流类,,0,估算
159399,富时中国A股自由现金流聚焦ETF,rsi_mean_reversion,v20260520,现金流类,,0,估算
562080,华宝沪深300自由现金流ETF,rsi_mean_reversion,v20260520,现金流类,,0,估算
560120,华夏中证500自由现金流ETF,rsi_mean_reversion,v20260520,现金流类,,0,估算
563990,富国中证800自由现金流ETF,rsi_mean_reversion,v20260520,现金流类,,0,估算
