fund_code,index_code,date,nav_unit,nav_accum,daily_return_pct,div_yield_fund_ttm_pct,div_yield_index_did_pct
007751,931157,2019-09-06,1.0000,1.0000,0.0000,,3.4213
007751,931157,2019-09-12,1.0001,1.0001,0.0000,,3.3616
007751,931157,2019-09-20,1.0003,1.0003,0.0000,,3.3886
007751,931157,2019-09-27,0.9860,0.9860,0.0000,,3.4203
007751,931157,2019-09-30,0.9839,0.9839,-0.2130,,3.4376
007751,931157,2019-10-11,1.0108,1.0108,0.0000,,3.3420
007751,931157,2019-10-18,1.0064,1.0064,0.0000,,3.3478
007751,931157,2019-10-25,1.0093,1.0093,0.0000,,3.3236
007751,931157,2019-11-01,1.0066,1.0066,0.0000,,3.3033
007751,931157,2019-11-08,1.0123,1.0123,0.0000,,3.2956
007751,931157,2019-11-15,0.9859,0.9859,0.0000,,3.3811
007751,931157,2019-11-18,0.9920,0.9920,0.6187,,3.3520
007751,931157,2019-11-19,1.0014,1.0014,0.9476,,3.3318
007751,931157,2019-11-20,0.9949,0.9949,-0.6491,,3.3578
007751,931157,2019-11-21,0.9906,0.9906,-0.4322,,3.3831
007751,931157,2019-11-22,0.9893,0.9893,-0.1312,,3.3979
007751,931157,2019-11-25,1.0013,1.0013,1.2130,,3.3595
007751,931157,2019-11-26,1.0001,1.0001,-0.1198,,3.3669
007751,931157,2019-11-27,0.9981,0.9981,-0.2000,,3.3695
007751,931157,2019-11-28,0.9950,0.9950,-0.3106,,3.3867
007751,931157,2019-11-29,0.9917,0.9917,-0.3317,,3.4290
007751,931157,2019-12-02,0.9934,0.9934,0.1714,,3.4233
007751,931157,2019-12-03,0.9958,0.9958,0.2416,,3.4188
007751,931157,2019-12-04,0.9928,0.9928,-0.3013,,3.4314
007751,931157,2019-12-05,0.9991,0.9991,0.6346,,3.4149
007751,931157,2019-12-06,1.0001,1.0001,0.1001,,3.4007
007751,931157,2019-12-09,1.0055,1.0055,0.5399,,3.3981
007751,931157,2019-12-10,1.0030,1.0030,-0.2486,,3.4035
007751,931157,2019-12-11,1.0064,1.0064,0.3390,,3.3949
007751,931157,2019-12-12,1.0052,1.0052,-0.1192,,3.4000
007751,931157,2019-12-13,1.0175,1.0175,1.2236,,
007751,931157,2019-12-16,1.0167,1.0167,-0.0786,,3.4614
007751,931157,2019-12-17,1.0270,1.0270,1.0131,,3.4236
007751,931157,2019-12-18,1.0248,1.0248,-0.2142,,3.4215
007751,931157,2019-12-19,1.0255,1.0255,0.0683,,3.4253
007751,931157,2019-12-20,1.0237,1.0237,-0.1755,,3.4234
007751,931157,2019-12-23,1.0191,1.0191,-0.4494,,3.4325
007751,931157,2019-12-26,1.0208,1.0208,0.0000,,3.4270
007751,931157,2019-12-27,1.0272,1.0272,0.6270,,3.3981
007751,931157,2019-12-30,1.0321,1.0321,0.4770,,3.3852
007751,931157,2019-12-31,1.0325,1.0325,0.0388,,3.3858
007751,931157,2020-01-02,1.0454,1.0454,1.2494,,3.3400
007751,931157,2020-01-03,1.0445,1.0445,-0.0861,,3.3600
007751,931157,2020-01-06,1.0378,1.0378,-0.6415,,3.3857
007751,931157,2020-01-07,1.0415,1.0415,0.3565,,3.3832
007751,931157,2020-01-08,1.0260,1.0260,-1.4882,,3.4236
007751,931157,2020-01-09,1.0383,1.0383,1.1988,,3.3844
007751,931157,2020-01-10,1.0372,1.0372,-0.1059,,3.3828
007751,931157,2020-01-13,1.0397,1.0397,0.2410,,3.3599
007751,931157,2020-01-14,1.0369,1.0369,-0.2693,,3.3645
007751,931157,2020-01-15,1.0303,1.0303,-0.6365,,3.3829
007751,931157,2020-01-16,1.0255,1.0305,0.0194,0.4876,3.3826
007751,931157,2020-01-17,1.0291,1.0341,0.3510,0.4859,3.3601
007751,931157,2020-01-20,1.0238,1.0288,-0.5150,0.4884,3.3878
007751,931157,2020-01-21,1.0017,1.0067,-2.1586,0.4992,3.4810
007751,931157,2020-01-22,1.0111,1.0161,0.9384,0.4945,3.4485
007751,931157,2020-01-23,0.9879,0.9929,-2.2945,0.5061,3.5247
007751,931157,2020-02-03,0.9250,0.9300,-6.3670,0.5405,3.7734
