index_code,date,tri_close,price_close,div_yield_nominal_pct,div_yield_redrocket_did_pct,div_yield_redrocket_percentile_pct,div_yield_equal_pct,div_yield_ttm_pct,div_yield_ttm_equal_pct
H30269,2005-12-30,1000.0000,1009.3400,,,,,,
H30269,2006-01-04,1009.3400,1009.3400,,,,,,
H30269,2006-01-05,1032.5700,1032.5700,,,,,,
H30269,2006-01-06,1046.8900,1046.8900,,,,,,
H30269,2006-01-09,1057.8700,1057.8600,,,,,,
H30269,2006-01-10,1061.6900,1061.6900,,,,,,
H30269,2006-01-11,1063.5600,1063.5600,,,,,,
H30269,2006-01-12,1077.6600,1077.6600,,,,,,
H30269,2006-01-13,1076.8300,1076.8300,,,,,,
H30269,2006-01-16,1063.8900,1063.8900,,,,,,
H30269,2006-01-17,1065.0900,1065.0900,,,,,,
H30269,2006-01-18,1087.0200,1087.0200,,,,,,
H30269,2006-01-19,1106.7200,1106.7200,,,,,,
H30269,2006-01-20,1108.9300,1108.9300,,,,,,
H30269,2006-01-23,1121.9300,1121.9300,,,,,,
H30269,2006-01-24,1125.8400,1125.8400,,,,,,
H30269,2006-01-25,1133.3000,1133.3000,,,,,,
H30269,2006-02-06,1165.6000,1165.6000,,,,,,
H30269,2006-02-07,1160.9900,1160.9900,,,,,,
H30269,2006-02-08,1160.4600,1160.4600,,,,,,
H30269,2006-02-09,1149.2700,1149.2700,,,,,,
H30269,2006-02-10,1165.5300,1164.5600,,,,,,
H30269,2006-02-13,1164.1200,1163.1600,,,,,,
H30269,2006-02-14,1165.8700,1164.9100,,,,,,
H30269,2006-02-15,1167.6200,1166.6500,,,,,,
H30269,2006-02-16,1147.1400,1146.1900,,,,,,
H30269,2006-02-17,1145.3100,1141.9800,,,,,,
H30269,2006-02-20,1152.4500,1149.0900,,,,,,
H30269,2006-02-21,1171.4700,1168.0600,,,,,,
H30269,2006-02-22,1179.8500,1176.4200,,,,,,
H30269,2006-02-23,1175.4400,1172.0200,,,,,,
H30269,2006-02-24,1183.5800,1180.1300,,,,,,
H30269,2006-02-27,1176.1100,1172.6900,,,,,,
H30269,2006-02-28,1181.1600,1177.7200,,,,,,
H30269,2006-03-01,1180.2800,1176.8500,,,,,,
H30269,2006-03-02,1170.0300,1166.6200,,,,,,
H30269,2006-03-03,1181.6500,1178.2100,,,,,,
H30269,2006-03-06,1186.4700,1183.0200,,,,,,
H30269,2006-03-07,1158.7500,1155.3800,,,,,,
H30269,2006-03-08,1145.9000,1142.5700,,,,,,
H30269,2006-03-09,1143.2400,1139.9100,,,,,,
H30269,2006-03-10,1150.8900,1147.5400,,,,,,
H30269,2006-03-13,1168.0800,1164.6800,,,,,,
H30269,2006-03-14,1164.5300,1161.1400,,,,,,
H30269,2006-03-15,1177.6400,1174.2200,,,,,,
H30269,2006-03-16,1175.2900,1171.8700,,,,,,
H30269,2006-03-17,1169.5500,1166.1500,,,,,,
H30269,2006-03-20,1184.5700,1181.1200,,,,,,
H30269,2006-03-21,1191.8700,1188.4000,,,,,,
H30269,2006-03-22,1194.1300,1190.6500,,,,,,
H30269,2006-03-23,1197.6800,1194.1900,,,,,,
H30269,2006-03-24,1196.5600,1193.0800,,,,,,
H30269,2006-03-27,1199.0000,1195.5100,,,,,,
H30269,2006-03-28,1205.6800,1202.1700,,,,,,
H30269,2006-03-29,1219.7700,1216.2200,,,,,,
H30269,2006-03-30,1212.1400,1208.6100,,,,,,
H30269,2006-03-31,1215.0000,1211.4600,,,,,,
H30269,2006-04-03,1226.7600,1223.1900,,,,,,
H30269,2006-04-04,1235.8300,1232.2300,,,,,,
H30269,2006-04-05,1242.0900,1232.6500,,,,,,
H30269,2006-04-06,1238.5800,1229.1700,,,,,,
H30269,2006-04-07,1236.6700,1227.2700,,,,,,
H30269,2006-04-10,1254.6200,1245.0900,,,,,,
H30269,2006-04-11,1268.0300,1258.4000,,,,,,
H30269,2006-04-12,1263.9900,1254.3900,,,,,,
H30269,2006-04-13,1249.2200,1239.7300,,,,,,
H30269,2006-04-14,1284.8700,1273.6300,,,,,,
H30269,2006-04-17,1290.3500,1279.0600,,,,,,
H30269,2006-04-18,1298.3100,1286.1500,,,,,,
H30269,2006-04-19,1295.9800,1283.8400,,,,,,
H30269,2006-04-20,1279.5100,1267.5200,,,,,,
H30269,2006-04-21,1290.5500,1278.4600,,,,,,
H30269,2006-04-24,1270.6200,1258.7200,,,,,,
H30269,2006-04-25,1268.4600,1255.5300,,,,,,
H30269,2006-04-26,1288.7900,1275.6500,,,,,,
H30269,2006-04-27,1288.5400,1275.4000,,,,,,
H30269,2006-04-28,1298.3900,1279.4500,,,,,,
H30269,2006-05-08,1338.8800,1319.3500,,,,,,
H30269,2006-05-09,1372.8100,1352.7900,,,,,,
H30269,2006-05-10,1380.1100,1359.9800,,,,,,
H30269,2006-05-11,1370.5400,1350.5500,,,,,,
H30269,2006-05-12,1397.9900,1377.6000,,,,,,
H30269,2006-05-15,1452.3100,1430.6100,,,,,,
H30269,2006-05-16,1434.8300,1413.3900,,,,,,
H30269,2006-05-17,1459.8900,1438.0800,,,,,,
H30269,2006-05-18,1469.2800,1447.3300,,,,,,
H30269,2006-05-19,1503.3800,1480.9200,,,,,,
H30269,2006-05-22,1545.2800,1520.3400,,,,,,
H30269,2006-05-23,1491.8000,1467.7200,,,,,,
H30269,2006-05-24,1454.9200,1431.4400,,,,,,
H30269,2006-05-25,1449.7100,1423.6100,,,,,,
H30269,2006-05-26,1481.3400,1454.6800,,,,,,
H30269,2006-05-29,1530.7200,1503.1700,,,,,,
H30269,2006-05-30,1547.8200,1519.9600,,,,,,
H30269,2006-05-31,1538.1800,1510.4900,,,,,,
H30269,2006-06-01,1584.5800,1556.0500,,,,,,
H30269,2006-06-02,1582.5200,1552.3200,,,,,,
H30269,2006-06-05,1602.0600,1571.4900,,,,,,
H30269,2006-06-06,1589.1400,1557.9700,,,,,,
H30269,2006-06-07,1488.8400,1459.6400,,,,,,
H30269,2006-06-08,1488.3800,1459.1900,,,,,,
H30269,2006-06-09,1457.8500,1429.2600,,,,,,
H30269,2006-06-12,1462.5600,1433.8800,,,,,,
H30269,2006-06-13,1466.9900,1438.2200,,,,,,
H30269,2006-06-14,1443.9800,1415.6500,,,,,,
H30269,2006-06-15,1435.7300,1407.5700,,,,,,
H30269,2006-06-16,1471.2800,1439.9500,,,,,,
H30269,2006-06-19,1492.7700,1459.7600,,,,,,
H30269,2006-06-20,1494.0400,1460.9900,,,,,,
H30269,2006-06-21,1490.8600,1457.8900,,,,,,
H30269,2006-06-22,1479.5000,1442.5900,,,,,,
H30269,2006-06-23,1487.7900,1442.8100,,,,,,
H30269,2006-06-26,1517.4700,1468.8000,,,,,,
H30269,2006-06-27,1516.7900,1467.2300,,,,,,
H30269,2006-06-28,1528.9400,1476.5600,,,,,,
H30269,2006-06-29,1568.5100,1513.9600,,,,,,
H30269,2006-06-30,1566.6800,1512.2000,,,,,,
H30269,2006-07-03,1591.5200,1536.1700,,,,,,
H30269,2006-07-04,1579.3600,1524.4300,,,,,,
H30269,2006-07-05,1559.9500,1505.7000,,,,,,
H30269,2006-07-06,1594.6500,1537.5300,,,,,,
H30269,2006-07-07,1586.1500,1529.3400,,,,,,
H30269,2006-07-10,1585.1800,1528.4000,,,,,,
H30269,2006-07-11,1590.9500,1533.4500,,,,,,
H30269,2006-07-12,1595.1400,1534.9500,,,,,,
H30269,2006-07-13,1503.0000,1445.4400,,,,,,
H30269,2006-07-14,1513.1100,1454.4600,,,,,,
H30269,2006-07-17,1535.3800,1475.8600,,,,,,
H30269,2006-07-18,1539.3300,1479.6600,,,,,,
H30269,2006-07-19,1513.4400,1454.7800,,,,,,
H30269,2006-07-20,1521.8500,1462.8600,,,,,,
H30269,2006-07-21,1528.2400,1468.4000,,,,,,
H30269,2006-07-24,1530.4700,1470.5500,,,,,,
H30269,2006-07-25,1550.5000,1488.2600,,,,,,
H30269,2006-07-26,1548.3000,1486.1500,,,,,,
H30269,2006-07-27,1524.5800,1463.3800,,,,,,
H30269,2006-07-28,1520.5700,1459.5300,,,,,,
H30269,2006-07-31,1466.8100,1407.9200,,,,,,
H30269,2006-08-01,1451.5300,1393.2600,,,,,,
H30269,2006-08-02,1443.7100,1385.7500,,,,,,
H30269,2006-08-03,1439.7600,1381.6800,,,,,,
H30269,2006-08-04,1407.8100,1351.0100,,,,,,
H30269,2006-08-07,1385.7400,1329.8300,,,,,,
H30269,2006-08-08,1424.6200,1367.1400,,,,,,
H30269,2006-08-09,1424.3900,1366.9300,,,,,,
H30269,2006-08-10,1447.1200,1387.8800,,,,,,
H30269,2006-08-11,1448.8300,1389.5300,,,,,,
H30269,2006-08-14,1421.4200,1363.2400,,,,,,
H30269,2006-08-15,1442.3600,1383.3300,,,,,,
H30269,2006-08-16,1464.1300,1404.2000,,,,,,
H30269,2006-08-17,1443.5000,1384.4100,,,,,,
H30269,2006-08-18,1434.7000,1375.5000,,,,,,
H30269,2006-08-21,1434.6400,1375.4400,,,,,,
H30269,2006-08-22,1442.3100,1382.8000,,,,,,
H30269,2006-08-23,1442.3600,1382.8500,,,,,,
H30269,2006-08-24,1446.3100,1386.6300,,,,,,
H30269,2006-08-25,1451.5100,1391.6100,,,,,,
H30269,2006-08-28,1483.6400,1422.4200,,,,,,
H30269,2006-08-29,1481.9400,1420.7900,,,,,,
H30269,2006-08-30,1489.1900,1427.7500,,,,,,
H30269,2006-08-31,1513.4000,1450.9500,,,,,,
H30269,2006-09-01,1499.5500,1437.6800,,,,,,
H30269,2006-09-04,1519.6000,1456.8900,,,,,,
H30269,2006-09-05,1514.5900,1452.0900,,,,,,
H30269,2006-09-06,1519.9000,1457.1800,,,,,,
H30269,2006-09-07,1498.1300,1436.3100,,,,,,
H30269,2006-09-08,1496.5500,1434.8000,,,,,,
H30269,2006-09-11,1504.8500,1442.7500,,,,,,
H30269,2006-09-12,1509.4900,1447.2100,,,,,,
H30269,2006-09-13,1497.1300,1435.3500,,,,,,
