index_code,etf_code,note,fee_pct,product_type
H30269,512890,,,
930955,515100,,,
000922,515080,,,
SPCLLHCP.SPI,515450,待接入 S&P 历史行情,,
000015,510880,,,
931468,159758,,,
000825,561580,,,
930914,513530,,,
931233,513910,,,
932365,159232,南方中证全指自由现金流ETF,,
932366,562080,华宝沪深300自由现金流ETF,,
932367,560120,华夏中证500自由现金流ETF,,
932368,563990,富国中证800自由现金流ETF,,
932366,563900,摩根沪深300自由现金流ETF；产品落地参考，不作为盘中默认监控,,
932368,563580,万家中证800自由现金流ETF；产品落地参考，不作为盘中默认监控,,
931157,007751,景顺长城沪港深红利成长低波A,,otc_fund
HSI114,513950,候选维度：主产品/规模最大/成立最早,0.60,
HSI114,520550,产品落地参考，不作为盘中默认监控；候选维度：费率最低,0.20,
CIS51002,159569,候选维度：主产品/规模最大/费率最低/成立最早,0.58,
SPAHLVCP.SPI,513630,候选维度：主产品/规模最大/费率最低/成立最早/规模补位,0.60,
SPAHLVCP.SPI,520610,产品落地参考，不作为盘中默认监控；候选维度：规模补位,0.60,
HSSCSOY.HI,513920,候选维度：主产品/规模最大/费率最低/成立最早/规模补位,0.60,
HSSCSOY.HI,159143,产品落地参考，不作为盘中默认监控；候选维度：规模补位,0.60,
980092,159201,候选维度：主产品/规模最大/费率最低/成立最早/规模补位,0.20,
980092,159222,产品落地参考，不作为盘中默认监控；候选维度：规模补位,0.20,
980092,159221,产品落地参考，不作为盘中默认监控；候选维度：规模补位,0.20,
980092,159166,产品落地参考，不作为盘中默认监控；候选维度：规模补位,0.60,
FCFQCD,159399,候选维度：主产品/规模最大/费率最低/成立最早,0.20,
